id,应用名,描述,应用链接PC端,应用链接移动端,ks3store,update_avatar
18,文件收集,暂无,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29MDIyZGY5ZTBkMzVkYTUwNDIzZTVlMGNlZjQzNThlY2Q6a3MzOndvYS1zdGF0aWM=,false
19,数字党建,便捷管理组织内党员信息,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,DD1AFB29MzBlM2EzMTBiMTI2MGM1OGY3Y2QwMTVjMDlkYWE4ZWE6a3MzOndvYS1zdGF0aWM=,false
20,AI 论文解读,暂无,https://lingxi.wps.cn/read,https://lingxi.wps.cn/read,DD1AFB29NzhlMWY0ZmZiMjAzYWQ5NmU3Y2Q1MGFhODc3NzYyNmE6a3MzOndvYS1zdGF0aWM=,false
21,AI PPT助手,暂无,https://lingxi.wps.cn/ppt,https://lingxi.wps.cn/ppt,DD1AFB29OTViZjRhMmNjNTk5MzJmNGM3MWU3YmNhMmU1NDdkZDM6a3MzOndvYS1zdGF0aWM=,false
22,AI 写作助手,暂无,https://lingxi.wps.cn/creative,https://lingxi.wps.cn/creative,DD1AFB29N2IyNWMyMDYwNDc0N2Y0MmNlZmY4OTZlMGUzMGM4ZTY6a3MzOndvYS1zdGF0aWM=,false
23,知情同意书,暂无,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29MjEyOWY4ZDE3OTgyYjdkYjAzY2I2YTQ2NTVlYTAxOTY6a3MzOndvYS1zdGF0aWM=,false
24,WPS学堂,Office技巧学习平台,https://www.wps.cn/learning/,https://www.wps.cn/learning/,DD1AFB29NzM3N2IxYmQ1ZTQxOGU3M2RjMmZiYjE3ZDA1ODY3NjE6a3MzOndvYS1zdGF0aWM=,false
25,作品投票,暂无,https://edu.wps.cn/form/vote/fwps?type=template&templateType=SYSTEM_TEMPLATE&id=19&chn=wps_collaborate_pc_workspace,,DD1AFB29OGRlMmM0MWM2ZDdiNjEwYWMyMzdjZGFiZjdkZTNlOTE6a3MzOndvYS1zdGF0aWM=,false
26,作业收集,暂无,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29NmYxNGFlMmExNDY0YzIyYWQyOGIxOTczYWJlNGQ5ODE6a3MzOndvYS1zdGF0aWM=,false
27,WPS AI实训室,聚焦WPS Al智能化办公人才培养,https://ewb.wps.cn/aiTraining/student,https://ewb.wps.cn/aiTraining/student,DD1AFB29ZGFlMjdjZTkxZGE4N2NjZjcxN2RhN2FlZjBkNWJmOTM6a3MzOndvYS1zdGF0aWM=,false
28,WPS实训室·学生端,WPS实训室·学生端,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWVYVnlaVzRtYzJsa1pVNWhkajE1ZFhKbGJpMWxlR0Z0TFcxaGFXNG1aWGhoYlZObGRHUTlMdz09IiAvc3JjPXRlc3Q=&token=c5431043378edac93cf4d382511b88eb&cert_token=rSABsCxhbz3qs8rvtYh7pZQB08gx7Kp0nhOhL3pMwx1MJvs3SzUROsoD0ge8hQSnfwoJLGv5uShCc7WawfKGyPNLNNpA8Jg7RYcS/PJuAD0WJfpQwzN8pLTQ1kN6S53x4wv3pwEzqn3nJK8/InmSjwBOv2kjVmZcVBWWE8VZ79es83PlsI2etI/m8z3r32fSIO6OiorX3a331RcHahZt7qd+TwDY0UEWahMc9nh5UAd7lH9lue2JiyT4PFGhhnZf3mamKpQJN5l82FsMYe2s1lbj3Q0z+/N5fVbOY7dCABQLScLL1ZE7F6H2D71M6bHTHU4jQGVeuM8InhXbTXD9Tw==&cert_type=fixurl&business_from=enterprise,,DD1AFB29Yjk5ZDM1Yjc3Nzc2NzY4OThlMmVhNjEyMzNjZjViMzk6a3MzOndvYS1zdGF0aWM=,false
29,WPS实训室·教师端,WPS实训室教师端管理后台,https://kps.wps.cn/admin/login?code=<companyId>,,DD1AFB29N2M0Yzc3OTE5OTNhYjRkOWNmZTYxYWEwMzg1Mzc4Y2Y6a3MzOndvYS1zdGF0aWM=,false
30,实训,WPS一站式办公技能提升平台,https://wps-ncre.u.wps.cn/web#/dashboard,https://wps-ncre.u.wps.cn/web#/dashboard,DD1AFB29OTI0ZGVhZjkwYWRjMjcyYmYyYzIxNTkzMWQwNDZlNDQ6a3MzOndvYS1zdGF0aWM=,false
31,灵犀,WPS官方推出的AI 原生办公应用，专注于提升用户的办公效率与创作体验,https://copilot.wps.cn/,https://copilot.wps.cn/,DD1AFB29NmI3ZDFmMTg0YjdmMzhlYzkxNjVhNTI4ZmEyMThjMWE6a3MzOndvYS1zdGF0aWM=,false
32,投票,快捷发起管理校内投票,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29Yjk5MzBkOTBhMjk5NDMxOGE1ZjU1ODI1NTE4NzJmMTU6a3MzOndvYS1zdGF0aWM=,false
33,工具百宝箱,汇集课前备课、课程教学、课后作业、班务日常等各类提效工具,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,DD1AFB29ODQ1NGJkMDYwNDVjMzkxNjM4NjkwYmZjZGI3MDJkNjc6a3MzOndvYS1zdGF0aWM=,false
34,校本资源,汇集官方提供、校本共建共享的各类教学资源,https://ewb.wps.cn/resource?reloadMenuKey=resource_university&chn=wps_pc_xiezuo_workspace,,DD1AFB29YzFiZTA0NjNkNTlkM2Q5YTNiY2M2NTdkY2Q5OGEwN2E6a3MzOndvYS1zdGF0aWM=,false
35,集体备课,支持发起集体备课任务、在线听评、评课收集等在线协同教研,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,DD1AFB29YzA0ZWQ0YTMxZjllNGY2MzU0OGY2N2NjODdkNmI5OTU6a3MzOndvYS1zdGF0aWM=,false
36,个人备课云盘,云端存储备课文件资源、作业一键收集,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,DD1AFB29YWIxYTg1ZTFlMTUzY2VlYzY2ZTM1ODUwYTQ1M2RhNDQ6a3MzOndvYS1zdGF0aWM=,false
