id,应用名,描述,应用链接PC端,应用链接移动端,ks3store,update_avatar
22,报名,快捷发起并管理报名活动,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29YWZiOGEzMjFkODcyYWIxOTBhNzQwNjgzODIyMzRmZDI6a3MzOndvYS1zdGF0aWM=,true
23,文件收集,收作业、收文件,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29ZjhkMDQ2NGY0M2I0ZTJkNDk4MWNjMjM5MWU4NjFmMWU6a3MzOndvYS1zdGF0aWM=,true
24,实训,WPS一站式办公技能提升平台，助力数字化办公人才培养,https://wps-ncre.u.wps.cn/web#/dashboard,,DD1AFB29OTI0ZGVhZjkwYWRjMjcyYmYyYzIxNTkzMWQwNDZlNDQ6a3MzOndvYS1zdGF0aWM=,true
25,WPS AI 实训室,WPS AI实训室,https://ewb.wps.cn/aiTraining/student,https://ewb.wps.cn/aiTraining/student,DD1AFB29NjFiNzI4ZDIwMjc3ZGYwNGUwZGIzNGQ1ZTFmOGQ0YTM6a3MzOndvYS1zdGF0aWM=,true
26,教研数据,数字教研全流程数据监控,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,DD1AFB29NWRhNDJhNGQwMzJlNTA0ZjUwZGY0MGU3ZmMzYjJkNzI6a3MzOndvYS1zdGF0aWM=,true
27,灵犀,WPS官方推出的AI 原生办公应用，专注于提升用户的办公效率与创作体验,https://lingxi.wps.cn?from=wps_pc_xiezuo_edu,https://lingxi.wps.cn?from=wps_pc_xiezuo_edu,DD1AFB29NmI3ZDFmMTg0YjdmMzhlYzkxNjVhNTI4ZmEyMThjMWE6a3MzOndvYS1zdGF0aWM=,true
28,教学工具箱,汇集课前备课、课程教学、课后作业、班务日常等各类提效工具,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,DD1AFB29ODk3NjFiNmVmNmIwNjc1Njc3NjgzZDIxNzU4OTQ5Zjc6a3MzOndvYS1zdGF0aWM=,true
29,校本资源,汇集官方提供、校本共建共享的各类教学资源,https://ewb.wps.cn/resource?reloadMenuKey=resource_university&chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/resource?reloadMenuKey=resource_university&chn=wps_pc_xiezuo_workspace,DD1AFB29YzFiZTA0NjNkNTlkM2Q5YTNiY2M2NTdkY2Q5OGEwN2E6a3MzOndvYS1zdGF0aWM=,true
30,集体备课,支持发起集体备课任务、在线听评、评课收集等在线协同教研,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,DD1AFB29YzA0ZWQ0YTMxZjllNGY2MzU0OGY2N2NjODdkNmI5OTU6a3MzOndvYS1zdGF0aWM=,true
31,个人备课云盘,云端存储备课文件资源、作业一键收集,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,DD1AFB29YWIxYTg1ZTFlMTUzY2VlYzY2ZTM1ODUwYTQ1M2RhNDQ6a3MzOndvYS1zdGF0aWM=,true
32,教研,基于资源协同的一站式数字化教研平台,https://ewb.wps.cn/?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/?chn=wps_pc_xiezuo_workspace,DD1AFB29NGQzM2FhMTUwZmYyYmEwZDFkNDNlMjk5MmYwMGNlYjk6a3MzOndvYS1zdGF0aWM=,true
