id,应用名,描述,应用链接PC端,应用链接移动端,ks3store
14,计算机一级,暂无,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWJtTnlaVEVtYzJsa1pVNWhkajF0WVdsdSIgL3NyYz10ZXN0&token=b9f0fbb4936645b096be986cfaabf59f,https://edu-m.wps.cn/detail/011c2642731247e5bd2d6fb654a566c1,DD1AFB29MGUxZWY3NWM5MmU0NzhhMDRlOThjNTM0NDNjMzNhMmQ6a3MzOndvYS1zdGF0aWM=
15,WPS数智教育案例,WPS 365教育版数智教育场景实践案例集锦,https://365.kdocs.cn/wo/sl/v127ffVw,https://365.kdocs.cn/wo/sl/v127ffVw,DD1AFB29NDFhNjg5YjZhNjNhNjY5NmVlOTc1NTBhMDYxMjJlNmI6a3MzOndvYS1zdGF0aWM=
16,WPS帮助中心,WPS 365教育版知识库，汇集各功能使用教程,https://365.kdocs.cn/wiki/l/0lcrGMUh9sQ78r/qa/?from=grouptitle,https://365.kdocs.cn/wiki/l/0lcrGMUh9sQ78r/qa/?from=grouptitle,DD1AFB29MTFhNDE3ODUyZTgyYzNkNTUyYjI1NzYyYzNmNmFhMDQ6a3MzOndvYS1zdGF0aWM=
17,文件收集,暂无,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29OWQ2YjJiZWM3MjM2NTVjOWQzZWQwYjc2YjQ5ZjRmM2E6a3MzOndvYS1zdGF0aWM=
18,数字党建,便捷管理组织内党员信息,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,DD1AFB29ZjZmZmM3N2ZmMzlmMGY1YTYzNTBiNDZlMDZmNmIwZDI6a3MzOndvYS1zdGF0aWM=
19,AI论文解读,暂无,https://lingxi.wps.cn/read,https://lingxi.wps.cn/read,DD1AFB29MTUwZTJmOWQ4MjJhYWI3ZGU2M2Q5ZGJmZTQ4NmUzZGM6a3MzOndvYS1zdGF0aWM=
20,AI PPT助手,暂无,https://lingxi.wps.cn/ppt,https://lingxi.wps.cn/ppt,DD1AFB29NGZmZjkzZDdmOTE5Y2Q5N2IzOGI4NWQ0MDE4YTczNzY6a3MzOndvYS1zdGF0aWM=
21,AI 写作助手,暂无,https://lingxi.wps.cn/creative,https://lingxi.wps.cn/creative,DD1AFB29MzQ4YTE0OGNmNWFhMjg2NTA5NjIxMjAyYzdmZjc2YTI6a3MzOndvYS1zdGF0aWM=
22,知情同意书,暂无,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29YzdhNDBhZjQ2M2U3YjE5NDc0N2RkMDE2MmMyNzY1Zjk6a3MzOndvYS1zdGF0aWM=
23,校园投票,暂无,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29MTIwMDE0ZDg3MzZkMmVjNWYyOWZkOTI5ODUzM2EzNTM6a3MzOndvYS1zdGF0aWM=
24,WPS学习广场,暂无,https://365.kdocs.cn/l/cnkfuzbNcAwQ,https://edu.wps.cn/operation/m/learningHub,DD1AFB29MTcyYzNiMGM2OWRiNjVmZjRmYTYyMTQ1NDZjNTJmNmQ6a3MzOndvYS1zdGF0aWM=
25,作品投票,暂无,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29MWNhYTg0N2YyZDcyNTgwNzhmMDcxMTA3MmU4MWQ4NGI6a3MzOndvYS1zdGF0aWM=
26,课程投票,暂无,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29ZjUxYzQxOTAxNmJmMDc4NzJmY2FiMDRlM2EzYjdiZGM6a3MzOndvYS1zdGF0aWM=
27,作业收集,暂无,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29Y2RlMjhjZTQ4ZWU1NTg3MTg0N2MwMTExNmI4YTA3YWQ6a3MzOndvYS1zdGF0aWM=
28,WPS AI实训室,聚焦WPS Al智能化办公人才培养,https://ewb.wps.cn/aiTraining/student,https://ewb.wps.cn/aiTraining/student,DD1AFB29NWQ5Mzk1YTJkMzIyYzA5ZTVlZjUxMDRjMmJlMWY2ZmI6a3MzOndvYS1zdGF0aWM=
29,WPS实训室·学生端,WPS实训室·学生端,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWVYVnlaVzRtYzJsa1pVNWhkajE1ZFhKbGJpMWxlR0Z0TFcxaGFXNG1aWGhoYlZObGRHUTlMdz09IiAvc3JjPXRlc3Q=&token=c5431043378edac93cf4d382511b88eb&cert_token=rSABsCxhbz3qs8rvtYh7pZQB08gx7Kp0nhOhL3pMwx1MJvs3SzUROsoD0ge8hQSnfwoJLGv5uShCc7WawfKGyPNLNNpA8Jg7RYcS/PJuAD0WJfpQwzN8pLTQ1kN6S53x4wv3pwEzqn3nJK8/InmSjwBOv2kjVmZcVBWWE8VZ79es83PlsI2etI/m8z3r32fSIO6OiorX3a331RcHahZt7qd+TwDY0UEWahMc9nh5UAd7lH9lue2JiyT4PFGhhnZf3mamKpQJN5l82FsMYe2s1lbj3Q0z+/N5fVbOY7dCABQLScLL1ZE7F6H2D71M6bHTHU4jQGVeuM8InhXbTXD9Tw==&cert_type=fixurl&business_from=enterprise,ksoqing://type=ksolaunch&cmd=L3dwc2Nsb3VkbGF1bmNoIC9ydW5fYXBwICIvYXBwX2lkPXdwc2V4YW0iICIvYXBwX3BhcmFtcz1MM0YxWlhKNVUzUnlhVzVuUFhObGNtbGxjMVI1Y0dVOWVYVnlaVzRtYzJsa1pVNWhkajE1ZFhKbGJpMWxlR0Z0TFcxaGFXNG1aWGhoYlZObGRHUTlMdz09IiAvc3JjPXRlc3Q=&token=c5431043378edac93cf4d382511b88eb&cert_token=rSABsCxhbz3qs8rvtYh7pZQB08gx7Kp0nhOhL3pMwx1MJvs3SzUROsoD0ge8hQSnfwoJLGv5uShCc7WawfKGyPNLNNpA8Jg7RYcS/PJuAD0WJfpQwzN8pLTQ1kN6S53x4wv3pwEzqn3nJK8/InmSjwBOv2kjVmZcVBWWE8VZ79es83PlsI2etI/m8z3r32fSIO6OiorX3a331RcHahZt7qd+TwDY0UEWahMc9nh5UAd7lH9lue2JiyT4PFGhhnZf3mamKpQJN5l82FsMYe2s1lbj3Q0z+/N5fVbOY7dCABQLScLL1ZE7F6H2D71M6bHTHU4jQGVeuM8InhXbTXD9Tw==&cert_type=fixurl&business_from=enterprise,DD1AFB29MTcxZjY2MWIyNjlkZmU4ZTA3YTFlOTQwYTMyMWRlYzQ6a3MzOndvYS1zdGF0aWM=
30,WPS实训室·教师端,WPS实训室教师端管理后台,https://kps.wps.cn/admin/login?code=学校id,https://kps.wps.cn/admin/login?code=学校id,DD1AFB29ZmIzMmFkMzJhMTM3YTc1MjhhNzhiYTNlODczZmQxMWY6a3MzOndvYS1zdGF0aWM=
31,WPS教学平台,WPS一站式办公技能提升平台,ksoqing://type=ksolaunch&source=vasapp&tag=vasapptag&cmd=UnVuIC9JbnN0YW5jZUlkPVdwc0Nsb3VkU3ZyIHdwc2Nsb3Vkc3ZyaW1wLmRsbCAvcnVuX2FwcCAvYXBwX2lkPXdwc2V4YW0gL3NyYz1wdWJsaWNfZXh0ZXJuYWxCcm93c2Vy&token=a30794428a87774de44a67eb75dca70d&cert_token=MD6w/cJHxXw4qxHzRAA50LlOo3obo3unqFFJT0qWfFOyafIb0TVTOhbfMQZWUAyHmPYjXxICnlx3N5rJbEtGoWJuoPjO25EOGwDnf6BTBBpsOy634mLmHE/OJ9Zmz5korEFMVnjlz5Wbs7pXFjt+8gp1xefb3nW0m4CyPnIiNI9ZJ1qXI5S6yd6kW3RT8hiy+8O+iE2NTkhvsG+d6INqULyRD2tOXhj97IQsGBRP4ueo2W0SRPRrX16W3+Ln7td3uRXbzOOwB4C8s+3hTG4TBh4DqIcAntZwSzDk3P/po1E2t26BdX1LVqW+Ffr0sZTdgTjj4Z6Wu+IEOzr1ZQyALw==&cert_type=fixurl&business_from=enterprise,ksoqing://type=ksolaunch&source=vasapp&tag=vasapptag&cmd=UnVuIC9JbnN0YW5jZUlkPVdwc0Nsb3VkU3ZyIHdwc2Nsb3Vkc3ZyaW1wLmRsbCAvcnVuX2FwcCAvYXBwX2lkPXdwc2V4YW0gL3NyYz1wdWJsaWNfZXh0ZXJuYWxCcm93c2Vy&token=a30794428a87774de44a67eb75dca70d&cert_token=MD6w/cJHxXw4qxHzRAA50LlOo3obo3unqFFJT0qWfFOyafIb0TVTOhbfMQZWUAyHmPYjXxICnlx3N5rJbEtGoWJuoPjO25EOGwDnf6BTBBpsOy634mLmHE/OJ9Zmz5korEFMVnjlz5Wbs7pXFjt+8gp1xefb3nW0m4CyPnIiNI9ZJ1qXI5S6yd6kW3RT8hiy+8O+iE2NTkhvsG+d6INqULyRD2tOXhj97IQsGBRP4ueo2W0SRPRrX16W3+Ln7td3uRXbzOOwB4C8s+3hTG4TBh4DqIcAntZwSzDk3P/po1E2t26BdX1LVqW+Ffr0sZTdgTjj4Z6Wu+IEOzr1ZQyALw==&cert_type=fixurl&business_from=enterprise,DD1AFB29NjU2NDU3YzhjNjQ3MzE2MzY2ZmY2MTQwZTQ3OTRiMjU6a3MzOndvYS1zdGF0aWM=
32,WPS灵犀,WPS官方推出的AI 原生办公应用，专注于提升用户的办公效率与创作体验,https://copilot.wps.cn/,https://copilot.wps.cn/,DD1AFB29YmRkY2E1YWQyYzllYjk2YTI2OWQwNTg0NmM3YmE3ODM6a3MzOndvYS1zdGF0aWM=
33,投票,快捷发起管理校内投票,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29ZjEwYjVhMjljY2M1ZTdiYWVlMDY3OTU3NTU1YzY0MzE6a3MzOndvYS1zdGF0aWM=
34,活动报名,快捷发起并管理报名活动,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29NmI4ODhmZDU1YTA5ZWI5YWYwMDA1MzNkZmVmNGM5MjU6a3MzOndvYS1zdGF0aWM=
35,工具百宝箱,汇集课前备课、课程教学、课后作业、班务日常等各类提效工具,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/toolsBox?chn=wps_pc_xiezuo_workspace,DD1AFB29NTA5NGNmZjMxODVkMTc5MWY2ZmFmNTljM2ZmMzczNjQ6a3MzOndvYS1zdGF0aWM=
36,校本资源,汇集官方提供、校本共建共享的各类教学资源,https://ewb.wps.cn/resource?reloadMenuKey=resource_university&chn=wps_pc_xiezuo_workspace,,DD1AFB29ZjEyYjYyNjA4NzhjYWIyMjhhZTUzZmU4MWQzZWJjZWY6a3MzOndvYS1zdGF0aWM=
37,集体备课,支持发起集体备课任务、在线听评、评课收集等在线协同教研,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessonsGroup?chn=wps_pc_xiezuo_workspace,DD1AFB29MzkzOGM2NTU4MmQ1Nzc1MzJiNmZhY2Y2N2RjMGJmYmM6a3MzOndvYS1zdGF0aWM=
38,个人备课云盘,云端存储备课文件资源、作业一键收集,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/lessons?chn=wps_pc_xiezuo_workspace,DD1AFB29NDI4MTA3MDBmNmVkZjM5ODZmZjRkMTExNTMwN2YwZjI6a3MzOndvYS1zdGF0aWM=
